songname=Afterlife;length=53;type=Solo;difficulty=4;completed=false;
songname=Riff Tape;length=27;type=Riff;difficulty=1;completed=true;
songname=Master of Puppets;length=53;type=Intro;difficulty=2;completed=true;
songname=I Dont Wanna Be Me;length=39;type=Solo;difficulty=2;completed=true;
songname=Nothing Else Matters;length=60;type=Solo;difficulty=2;completed=true;
songname=November Rain;length=59;type=Solo;difficulty=2;completed=true;
songname=Afterlife;length=31;type=Harmonies;difficulty=1;completed=true;
songname=Cherry Waves;length=52;type=Chorus;difficulty=1;completed=true;
songname=Almost Easy;length=43;type=Intro;difficulty=1;completed=true;
songname=Beast and the Harlot;length=45;type=Solo;difficulty=3;completed=true;
songname=So Far Away;length=60;type=Solo;difficulty=2;completed=true;
songname=Nightmare;length=60;type=Solo;difficulty=3;completed=true;
songname=Bat Country;length=50;type=Harmonies;difficulty=2;completed=true;
songname=John Wayne;length=60;type=Verse;difficulty=1;completed=true;
songname=Apocalypse;length=60;type=Verse;difficulty=1;completed=true;
songname=Unholy Confessions;length=60;type=Harmonies;difficulty=1;completed=true;
songname=Nothing Else Matters;length=42;type=Harmonies;difficulty=1;completed=true;
songname=Hail To The King;length=56;type=Solo;difficulty=3;completed=true;
songname=Bat Country;length=59;type=Solo;difficulty=3;completed=true;
songname=Almost Easy;length=60;type=Bridge;difficulty=2;completed=true;
songname=Blackened;length=53;type=Harmonies;difficulty=1;completed=true;
songname=Critical Acclaim;length=36;type=Intro;difficulty=1;completed=true;
songname=Game Over;length=54;type=Solo;difficulty=3;completed=true;
songname=Seize the Day;length=59;type=Solo;difficulty=2;completed=true;
songname=Blinded in Chains;length=58;type=Harmonies;difficulty=2;completed=true;
songname=Save Me;length=60;type=Intro;difficulty=2;completed=true;
songname=Eternal Rest;length=60;type=Harmonies;difficulty=2;completed=true;
